device,end_ts,source_id,start_ts,uid
touch,2017-12-20 17:38:00,4,2017-12-20 17:20:00,16879256277535980
desktop,2018-02-19 17:21:00,2,2018-02-19 16:53:00,104060357244892
touch,2017-07-01 01:54:00,5,2017-07-01 01:54:00,7459035603376831
desktop,2018-05-20 11:23:00,9,2018-05-20 10:59:00,16174680259334210
desktop,2017-12-27 14:06:00,3,2017-12-27 14:06:00,9969694820036682
desktop,2017-09-03 21:36:00,5,2017-09-03 21:35:00,16007536194108376
desktop,2018-01-30 12:09:00,1,2018-01-30 11:13:00,6661610529277172
touch,2017-11-05 15:15:00,3,2017-11-05 15:14:00,11423865690854540
desktop,2017-07-19 10:44:00,3,2017-07-19 10:41:00,2987360259350926
desktop,2017-11-08 13:43:00,5,2017-11-08 13:42:00,1289240080042562
desktop,2017-07-14 12:44:00,5,2017-07-14 12:43:00,14879997728223228
desktop,2018-01-25 19:41:00,1,2018-01-25 19:37:00,7478054213403174
desktop,2018-02-06 15:50:00,4,2018-02-06 15:45:00,8056418121947263
desktop,2017-11-27 14:43:00,3,2017-11-27 14:42:00,1989613820989570
touch,2018-04-23 18:01:00,9,2018-04-23 18:00:00,18026419100367256
touch,2018-02-12 20:30:00,2,2018-02-12 19:24:00,18188358787673500
desktop,2018-05-14 08:45:00,5,2018-05-14 08:39:00,13958332529722258
desktop,2018-05-30 08:51:00,5,2018-05-30 08:49:00,7415904268540941
desktop,2018-04-05 16:35:00,10,2018-04-05 16:28:00,17023906935283810
desktop,2018-05-17 19:26:00,2,2018-05-17 18:10:00,14243397340327062
touch,2018-01-16 19:04:00,3,2018-01-16 18:56:00,3290526361933478
touch,2017-11-01 00:23:00,3,2017-11-01 00:16:00,9772781220677270
desktop,2017-06-21 15:01:00,5,2017-06-21 14:31:00,10245950763288728
touch,2017-12-26 17:35:00,4,2017-12-26 17:30:00,11451610027598174
desktop,2018-02-01 15:38:00,4,2018-02-01 15:11:00,12375289438043468
desktop,2017-12-05 10:28:00,4,2017-12-05 10:21:00,2307401184189569
desktop,2018-03-22 09:50:00,5,2018-03-22 09:47:00,920985734427330
desktop,2017-10-23 12:58:00,3,2017-10-23 12:49:00,4499746016005494
desktop,2017-11-09 15:53:00,4,2017-11-09 15:53:00,17892541477379912
desktop,2018-01-22 12:31:00,4,2018-01-22 12:19:00,18126128709986696
desktop,2018-04-05 09:27:00,2,2018-04-05 09:24:00,2655976123871715
desktop,2017-10-10 22:54:00,4,2017-10-10 22:43:00,10160380139945840
desktop,2017-11-30 12:29:00,4,2017-11-30 12:29:00,13410401624913286
desktop,2018-02-24 18:57:00,4,2018-02-24 18:56:00,11265166683832042
touch,2017-09-09 05:20:00,3,2017-09-09 05:17:00,16458761471338262
touch,2018-03-13 11:15:00,3,2018-03-13 11:13:00,16790137079617452
desktop,2017-12-28 15:46:00,4,2017-12-28 15:24:00,63137637277927
desktop,2018-03-12 23:25:00,3,2018-03-12 23:13:00,15857957287537270
touch,2018-03-01 08:45:00,4,2018-03-01 08:43:00,15763368622958394
desktop,2018-02-22 15:53:00,4,2018-02-22 15:52:00,10948816312255660
desktop,2017-10-07 11:14:00,5,2017-10-07 11:08:00,14594305127324426
touch,2017-06-30 12:39:00,3,2017-06-30 12:38:00,5743775802146959
desktop,2018-02-02 08:16:00,4,2018-02-02 08:13:00,10490362059508326
touch,2018-03-27 17:52:00,5,2018-03-27 17:32:00,15868686231870596
desktop,2017-12-26 14:39:00,9,2017-12-26 14:00:00,9419370217043170
touch,2017-10-20 19:53:00,4,2017-10-20 19:41:00,10814990248264228
desktop,2017-08-03 12:16:00,9,2017-08-03 11:37:00,11050568151857814
desktop,2018-03-12 13:28:00,4,2018-03-12 13:22:00,14265925441689950
desktop,2018-03-21 21:28:00,4,2018-03-21 21:26:00,8103967464520460
desktop,2017-07-16 19:43:00,4,2017-07-16 19:42:00,14902377505012236
touch,2017-11-24 08:25:00,4,2017-11-24 08:09:00,4251213734608686
desktop,2017-11-10 15:10:00,4,2017-11-10 15:09:00,10687591757526328
touch,2017-09-05 13:45:00,2,2017-09-05 13:41:00,15968141449391922
desktop,2018-05-23 16:30:00,4,2018-05-23 16:24:00,18057144608853640
desktop,2018-02-23 16:52:00,10,2018-02-23 16:52:00,13423278602430426
desktop,2018-03-15 14:41:00,3,2018-03-15 14:34:00,6600324468951455
desktop,2018-02-05 17:28:00,9,2018-02-05 17:02:00,5107268459832152
desktop,2018-02-04 21:37:00,1,2018-02-04 21:02:00,9161221590185702
desktop,2018-02-28 13:05:00,3,2018-02-28 13:01:00,18021593207588656
desktop,2018-05-31 15:29:00,5,2018-05-31 15:00:00,14197660397175580
